query,positive_passage
What does this passage describe?,"Logical Decoding The parameters are analogous to the change_cb callback. However, because TRUNCATE actions on tables connected by foreign keys need to be executed together, this callback receives an array of relations instead of just a single one. See the description of the TRUNCATE statement for details. 49.6.4.7. Origin Filter Callback The optional filter_by_origin_cb callback is called to determine whether data that has been replayed from origin_id is of interest to the output plugin. typedef bool (*LogicalDecodeFilterByOriginCB) (struct LogicalDecodingContext *ctx, RepOriginId origin_id); The ctx parameter has the same contents as for the other callbacks. No information but the origin is available. To signal that changes originating on the passed in node are irrelevant, return true, causing them to be filtered away; false otherwise. The other callbacks will not be called for transactions and changes that have been filtered away. This is useful when implementing cascading or multidirectional replication solutions. Filtering by the origin allows to prevent replicating the same changes back and forth in such setups. While transactions and changes also carry information about the origin, filtering via this callback is noticeably more efficient. 49.6.4.8. Generic Message Callback The optional message_cb callback is called whenever a logical decoding message has been decoded. typedef void (*LogicalDecodeMessageCB) (struct LogicalDecodingContext *ctx, ReorderBufferTXN *txn, XLogRecPtr message_lsn, bool transactional, const char *prefix, Size message_size, const char *message); The txn parameter contains meta information about the transaction, like the time stamp at which it has been committed and its XID. Note however that it can be"
What does this passage describe?,"used to check the integrity of a backup against the backup manifest. --manifest-force-encode Forces all filenames in the backup manifest to be hex-encoded. If this option is not specified, only non-UTF8 filenames are hex-encoded. This option is mostly intended to test that tools which read a backup manifest file properly handle this case. --no-estimate-size Prevents the server from estimating the total amount of backup data that will be streamed, result- ing in the backup_total column in the pg_stat_progress_basebackup view always being NULL. Without this option, the backup will start by enumerating the size of the entire database, and then go back and send the actual contents. This may make the backup take slightly longer, and in particular it will take longer before the first data is sent. This option is useful to avoid such estimation time if it's too long. This option is not allowed when using --progress . --no-manifest Disables generation of a backup manifest. If this option is not specified, the server will generate and send a backup manifest which can be verified using pg_verifybackup . The manifest is a list of every file present in the backup with the exception of any WAL files that may be included. It also stores the size, last modification time, and an optional checksum for each file. --no-slot Prevents the creation of a temporary replication slot for the backup. By default, if log streaming is selected but no slot name is given with the -S option, then a temporary replication slot"
What does this passage describe?,"you can issue queries to see the disk usage of any table: SELECT pg_relation_filepath(oid), relpages FROM pg_class WHERE relname = 'customer'; pg_relation_filepath | relpages ----------------------+---------- base/16384/16806 | 60 (1 row) Each page is typically 8 kilobytes. (Remember, relpages is only updated by VACUUM, ANALYZE , and a few DDL commands such as CREATE INDEX .) The file path name is of interest if you want to examine the table's disk file directly. To show the space used by TOAST tables, use a query like the following: SELECT relname, relpages FROM pg_class, (SELECT reltoastrelid FROM pg_class WHERE relname = 'customer') AS ss WHERE oid = ss.reltoastrelid OR oid = (SELECT indexrelid FROM pg_index WHERE indrelid = ss.reltoastrelid) ORDER BY relname; relname | relpages ----------------------+---------- pg_toast_16806 | 0 pg_toast_16806_index | 1 You can easily display index sizes, too: SELECT c2.relname, c2.relpages 853"
What does this passage describe?,"appear in a WHERE clause for a foreign table. Thus, a built-in function that was added since the remote server's release might be sent to it for execution, resulting in “function does not exist” or a similar error. This type of failure can be worked around by rewriting the query, for example by embedding the foreign table reference in a sub- SELECT with OFFSET 0 as an optimization fence, and placing the problematic function or operator outside the sub- SELECT. F.38.8. Configuration Parameters postgres_fdw.application_name (string) Specifies a value for application_name configuration parameter used when postgres_fdw es- tablishes a connection to a foreign server. This overrides application_name option of the server object. Note that change of this parameter doesn't affect any existing connections until they are re-established. postgres_fdw.application_name can be any string of any length and contain even non- ASCII characters. However when it's passed to and used as application_name in a foreign server, note that it will be truncated to less than NAMEDATALEN characters. Anything other than printable ASCII characters are replaced with C-style hexadecimal escapes . See application_name for details. % characters begin “escape sequences” that are replaced with status information as outlined below. Unrecognized escapes are ignored. Other characters are copied straight to the application name. Note that it's not allowed to specify a plus/minus sign or a numeric literal after the % and before the option, for alignment and padding. Escape Effect %a Application name on local server %c Session ID on local server (see log_line_prefix for"
What does this passage describe?,Example Program ..........................................................1002 36.1. Example SQLDA Program .................................................................................1055 36.2. ECPG Program Accessing Large Objects ..............................................................1069 42.1. Manual Installation of PL/Perl ............................................................................1306 43.1. Quoting Values in Dynamic Queries ....................................................................1323 43.2. Exceptions with UPDATE/INSERT ......................................................................1338 43.3. A PL/pgSQL Trigger Function ............................................................................1352 43.4. A PL/pgSQL Trigger Function for Auditing ..........................................................1353 43.5. A PL/pgSQL View Trigger Function for Auditing ..................................................1354 43.6. A PL/pgSQL Trigger Function for Maintaining a Summary Table .............................1355 43.7. Auditing with Transition Tables ..........................................................................1357 43.8. A PL/pgSQL Event Trigger Function ...................................................................1359 43.9. Porting a Simple Function from PL/SQL to PL/pgSQL ............................................1367 43.10. Porting a Function that Creates Another Function from PL/SQL to PL/pgSQL ............1368 43.11. Porting a Procedure With String Manipulation and OUT Parameters from PL/SQL to PL/pgSQL ...............................................................................................................1369 43.12. Porting a Procedure from PL/SQL to PL/pgSQL ..................................................1371 F.1. Create a Foreign Table for PostgreSQL CSV Logs ...................................................2770 xxxi
What does this passage describe?,"Release Notes E.9.1. Migration to Version 16.3 A dump/restore is not required for those running 16.X. However, a security vulnerability was found in the system views pg_stats_ext and pg_stat- s_ext_exprs , potentially allowing authenticated database users to see data they shouldn't. If this is of concern in your installation, follow the steps in the first changelog entry below to rectify it. Also, if you are upgrading from a version earlier than 16.2, see Section E.10 . E.9.2. Changes •Restrict visibility of pg_stats_ext and pg_stats_ext_exprs entries to the table owner (Nathan Bossart) These views failed to hide statistics for expressions that involve columns the accessing user does not have permission to read. View columns such as most_common_vals might expose securi- ty-relevant data. The potential interactions here are not fully clear, so in the interest of erring on the side of safety, make rows in these views visible only to the owner of the associated table. The PostgreSQL Project thanks Lukas Fittl for reporting this problem. (CVE-2024-4317) By itself, this fix will only fix the behavior in newly initdb'd database clusters. If you wish to apply this change in an existing cluster, you will need to do the following: 1.Find the SQL script fix-CVE-2024-4317.sql in the share directory of the PostgreSQL installation (typically located someplace like /usr/share/postgresql/ ). Be sure to use the script appropriate to your PostgreSQL major version. If you do not see this file, either your version is not vulnerable (only v14–v16 are affected) or your minor version is"
What does this passage describe?,"to avoid the overhead of materializing block data. This may make func- tion execution significantly faster. When show_data is set to false, block_data and block_fpi_data values are omitted (that is, the block_data and block_fpi_data OUT arguments are NULL for all rows returned). Obviously, this optimization is only feasible with queries where block data isn't truly required. The function raises an error if start_lsn is not available. pg_get_wal_stats(start_lsn pg_lsn, end_lsn pg_lsn, per_record boolean DEFAULT false) returns setof record Gets statistics of all the valid WAL records between start_lsn and end_lsn . By default, it returns one row per resource_manager type. When per_record is set to true, it returns one row per record_type . For example: postgres=# SELECT * FROM pg_get_wal_stats('0/1E847D00', '0/1E84F500') WHERE count > 0 AND ""resource_manager/record_type"" = 'Transaction' LIMIT 1; -[ RECORD 1 ]----------------+------------------- resource_manager/record_type | Transaction count | 2 count_percentage | 8 record_size | 875 record_size_percentage | 41.23468426013195 fpi_size | 0 fpi_size_percentage | 0 combined_size | 875 combined_size_percentage | 2.8634072910530795 The function raises an error if start_lsn is not available. 2863"
What does this passage describe?,"(whether before or after the write), it cannot see the work of the other transaction. The reader then appears to have executed first regardless of which started first or which committed first. If that is as far as it goes, there is no problem, but if the reader also writes data which is read by a concurrent transaction there is now a transaction which appears to have run before either of the previously mentioned transactions. If the transaction which appears to have executed last actually commits first, it is very easy for a cycle to appear in a graph of the order of execution of the transactions. When such a cycle appears, integrity checks will not work correctly without some help. As mentioned in Section 13.2.3 , Serializable transactions are just Repeatable Read transactions which add nonblocking monitoring for dangerous patterns of read/write conflicts. When a pattern is detected which could cause a cycle in the apparent order of execution, one of the transactions involved is rolled back to break the cycle. 13.4.1. Enforcing Consistency with Serializable Trans- actions If the Serializable transaction isolation level is used for all writes and for all reads which need a consistent view of the data, no other effort is required to ensure consistency. Software from other environments which is written to use serializable transactions to ensure consistency should “just work” in this regard in PostgreSQL. When using this technique, it will avoid creating an unnecessary burden for application program- mers if the application"
What does this passage describe?,"(tuples) in the index's parent table. A TID consists of a block number and an item number within that block (see Section 73.6 ). This is sufficient information to fetch a particular row version from the table. Indexes are not directly aware that under MVCC, there might be multiple extant ver- sions of the same logical row; to an index, each tuple is an independent object that needs its own index entry. Thus, an update of a row always creates all-new index entries for the row, even if the key values did not change. ( HOT tuples are an exception to this statement; but indexes do not deal with those, either.) Index entries for dead tuples are reclaimed (by vacuuming) when the dead tuples themselves are reclaimed. 64.1. Basic API Structure for Indexes Each index access method is described by a row in the pg_am system catalog. The pg_am entry specifies a name and a handler function for the index access method. These entries can be created and deleted using the CREATE ACCESS METHOD and DROP ACCESS METHOD SQL commands. An index access method handler function must be declared to accept a single argument of type in- ternal and to return the pseudo-type index_am_handler . The argument is a dummy value that simply serves to prevent handler functions from being called directly from SQL commands. The result of the function must be a palloc'd struct of type IndexAmRoutine , which contains everything that the core code needs to know to"
What does this passage describe?,"PL/pgSQL — SQL Procedural Language RAISE 'argument ''%'' is out of range', occur_index USING ERRCODE = '22003'; END IF; IF beg_index > 0 THEN beg := beg_index - 1; FOR i IN 1..occur_index LOOP temp_str := substring(string FROM beg + 1); pos := position(string_to_search_for IN temp_str); IF pos = 0 THEN RETURN 0; END IF; beg := beg + pos; END LOOP; RETURN beg; ELSIF beg_index < 0 THEN ss_length := char_length(string_to_search_for); length := char_length(string); beg := length + 1 + beg_index; WHILE beg > 0 LOOP temp_str := substring(string FROM beg FOR ss_length); IF string_to_search_for = temp_str THEN occur_number := occur_number + 1; IF occur_number = occur_index THEN RETURN beg; END IF; END IF; beg := beg - 1; END LOOP; RETURN 0; ELSE RETURN 0; END IF; END; $$ LANGUAGE plpgsql STRICT IMMUTABLE; 1375"
What does this passage describe?,"ECPG — Embedded SQL in C DECLARE DECLARE — define a cursor Synopsis DECLARE cursor_name [ BINARY ] [ ASENSITIVE | INSENSITIVE ] [ [ NO ] SCROLL ] CURSOR [ { WITH | WITHOUT } HOLD ] FOR prepared_name DECLARE cursor_name [ BINARY ] [ ASENSITIVE | INSENSITIVE ] [ [ NO ] SCROLL ] CURSOR [ { WITH | WITHOUT } HOLD ] FOR query Description DECLARE declares a cursor for iterating over the result set of a prepared statement. This command has slightly different semantics from the direct SQL command DECLARE : Whereas the latter executes a query and prepares the result set for retrieval, this embedded SQL command merely declares a name as a “loop variable” for iterating over the result set of a query; the actual execution happens when the cursor is opened with the OPEN command. Parameters cursor_name A cursor name, case sensitive. This can be an SQL identifier or a host variable. prepared_name The name of a prepared query, either as an SQL identifier or a host variable. query A SELECT or VALUES command which will provide the rows to be returned by the cursor. For the meaning of the cursor options, see DECLARE . Examples Examples declaring a cursor for a query: EXEC SQL DECLARE C CURSOR FOR SELECT * FROM My_Table; EXEC SQL DECLARE C CURSOR FOR SELECT Item1 FROM T; EXEC SQL DECLARE cur1 CURSOR FOR SELECT version(); An example declaring a cursor for a prepared statement: EXEC SQL PREPARE"
What does this passage describe?,"Monitoring Database Activity •You should take care that the data types specified for a probe's parameters match the data types of the variables used in the macro. Otherwise, you will get compilation errors. •On most platforms, if PostgreSQL is built with --enable-dtrace , the arguments to a trace macro will be evaluated whenever control passes through the macro, even if no tracing is being done. This is usually not worth worrying about if you are just reporting the values of a few local variables. But beware of putting expensive function calls into the arguments. If you need to do that, consider protecting the macro with a check to see if the trace is actually enabled: if (TRACE_POSTGRESQL_TRANSACTION_START_ENABLED()) TRACE_POSTGRESQL_TRANSACTION_START(some_function(...)); Each trace macro has a corresponding ENABLED macro. 852"
What does this passage describe?,"Concurrency Control updater deleted it, otherwise it will attempt to apply its operation to the updated version of the row. The search condition of the command (the WHERE clause) is re-evaluated to see if the updated version of the row still matches the search condition. If so, the second updater proceeds with its operation using the updated version of the row. In the case of SELECT FOR UPDATE and SELECT FOR SHARE, this means it is the updated version of the row that is locked and returned to the client. INSERT with an ON CONFLICT DO UPDATE clause behaves similarly. In Read Committed mode, each row proposed for insertion will either insert or update. Unless there are unrelated errors, one of those two outcomes is guaranteed. If a conflict originates in another transaction whose effects are not yet visible to the INSERT, the UPDATE clause will affect that row, even though possibly no version of that row is conventionally visible to the command. INSERT with an ON CONFLICT DO NOTHING clause may have insertion not proceed for a row due to the outcome of another transaction whose effects are not visible to the INSERT snapshot. Again, this is only the case in Read Committed mode. MERGE allows the user to specify various combinations of INSERT, UPDATE and DELETE subcom- mands. A MERGE command with both INSERT and UPDATE subcommands looks similar to INSERT with an ON CONFLICT DO UPDATE clause but does not guarantee that either INSERT or UPDATE will"
What does this passage describe?,"log file and later import the file again when it is complete, the primary key violation will cause the import to fail. Wait until the log is complete and closed before importing. This procedure will also protect against accidentally importing a partial line that hasn't been completely written, which would also cause COPY to fail. 20.8.5. Using JSON-Format Log Output Including jsonlog in the log_destination list provides a convenient way to import log files into many different programs. This option emits log lines in JSON format. String fields with null values are excluded from output. Additional fields may be added in the future. User applications that process jsonlog output should ignore unknown fields. Each log line is serialized as a JSON object with the set of keys and their associated values shown in Table 20.3 . Table 20.3. Keys and Values of JSON Log Entries Key name Type Description timestamp string Time stamp with milliseconds user string User name dbname string Database name pid number Process ID remote_host string Client host 658"
What does this passage describe?,"Release Notes In READ COMMITTED mode, an update that finds that its target row was just updated by a concur- rent transaction will recheck the query's WHERE conditions on the updated row. MERGE failed to ensure that the proper rows of other joined tables were used during this recheck, possibly resulting in incorrect decisions about whether the newly-updated row should be updated again by MERGE. •Correctly identify the target table in an inherited UPDATE/DELETE/MERGE even when the parent table is excluded by constraints (Amit Langote, Tom Lane) If the initially-named table is excluded by constraints, but not all its inheritance descendants are, the first non-excluded descendant was identified as the primary target table. This would lead to firing statement-level triggers associated with that table, rather than the initially-named table as should happen. In v16, the same oversight could also lead to “invalid perminfoindex 0 in RTE with relid NNNN” errors. •Fix edge case in btree mark/restore processing of ScalarArrayOpExpr clauses (Peter Geoghegan) When restoring an indexscan to a previously marked position, the code could miss required setup steps if the scan had advanced exactly to the end of the matches for a ScalarArrayOpExpr (that is, an indexcol = ANY(ARRAY[]) ) clause. This could result in missing some rows that should have been fetched. •Fix intra-query memory leak in Memoize execution (Orlov Aleksej, David Rowley) •Fix intra-query memory leak when a set-returning function repeatedly returns zero rows (Tom Lane) •Don't crash if cursor_to_xmlschema() is applied to a non-data-returning Portal (Boyu Yang)"
What does this passage describe?,"while (1) { EXEC SQL FETCH ... ; if (sqlca.sqlcode == ECPG_NOT_FOUND) break; } But WHENEVER NOT FOUND DO BREAK effectively does this internally, so there is usually no advantage in writing this out explicitly. -12 (ECPG_OUT_OF_MEMORY ) Indicates that your virtual memory is exhausted. The numeric value is defined as -ENOMEM . (SQLSTATE YE001) -200 (ECPG_UNSUPPORTED ) Indicates the preprocessor has generated something that the library does not know about. Perhaps you are running incompatible versions of the preprocessor and the library. (SQLSTATE YE002) -201 (ECPG_TOO_MANY_ARGUMENTS ) This means that the command specified more host variables than the command expected. (SQLS- TATE 07001 or 07002) -202 (ECPG_TOO_FEW_ARGUMENTS ) This means that the command specified fewer host variables than the command expected. (SQLS- TATE 07001 or 07002) -203 (ECPG_TOO_MANY_MATCHES ) This means a query has returned multiple rows but the statement was only prepared to store one result row (for example, because the specified variables are not arrays). (SQLSTATE 21000) 1062"
What does this passage describe?,"if the xmloption configuration parameter is set to DOCUMENT , or the latter if it is set to CONTENT . This means that xml_is_well_formed is useful for seeing whether a simple cast to type xml will succeed, whereas the other two functions are useful for seeing whether the correspond- ing variants of XMLPARSE will succeed. Examples: SET xmloption TO DOCUMENT; SELECT xml_is_well_formed('<>'); xml_is_well_formed -------------------- f (1 row) SELECT xml_is_well_formed('<abc/>'); xml_is_well_formed -------------------- t (1 row) 313"
What does this passage describe?,"Functions and Operators Function Description Example(s) age(timestamp '2001-04-10', timestamp '1957-06-13') → 43 years 9 mons 27 days age ( timestamp ) → interval Subtract argument from current_date (at midnight) age(timestamp '1957-06-13') → 62 years 6 mons 10 days clock_timestamp ( ) → timestamp with time zone Current date and time (changes during statement execution); see Section 9.9.5 clock_timestamp() → 2019-12-23 14:39:53.662522-05 current_date → date Current date; see Section 9.9.5 current_date → 2019-12-23 current_time → time with time zone Current time of day; see Section 9.9.5 current_time → 14:39:53.662522-05 current_time ( integer ) → time with time zone Current time of day, with limited precision; see Section 9.9.5 current_time(2) → 14:39:53.66-05 current_timestamp → timestamp with time zone Current date and time (start of current transaction); see Section 9.9.5 current_timestamp → 2019-12-23 14:39:53.662522-05 current_timestamp ( integer ) → timestamp with time zone Current date and time (start of current transaction), with limited precision; see Sec- tion 9.9.5 current_timestamp(0) → 2019-12-23 14:39:53-05 date_add ( timestamp with time zone , interval [, text ] ) → timestamp with time zone Add an interval to a timestamp with time zone , computing times of day and daylight-savings adjustments according to the time zone named by the third argu- ment, or the current TimeZone setting if that is omitted. The form with two arguments is equivalent to the timestamp with time zone + interval operator. date_add('2021-10-31 00:00:00+02'::timestamptz, '1 day'::interval, 'Europe/Warsaw') → 2021-10-31 23:00:00+00 date_bin ( interval , timestamp , timestamp ) → timestamp Bin input into"
What does this passage describe?,"Extending SQL 38.15.2. NEGATOR The NEGATOR clause, if provided, names an operator that is the negator of the operator being defined. We say that operator A is the negator of operator B if both return Boolean results and (x A y) equals NOT (x B y) for all possible inputs x, y. Notice that B is also the negator of A. For example, < and >= are a negator pair for most data types. An operator can never validly be its own negator. Unlike commutators, a pair of unary operators could validly be marked as each other's negators; that would mean (A x) equals NOT (B x) for all x. An operator's negator must have the same left and/or right operand types as the operator to be defined, so just as with COMMUTATOR , only the operator name need be given in the NEGATOR clause. Providing a negator is very helpful to the query optimizer since it allows expressions like NOT (x = y) to be simplified into x <> y. This comes up more often than you might think, because NOT operations can be inserted as a consequence of other rearrangements. Pairs of negator operators can be defined using the same methods explained above for commutator pairs. 38.15.3. RESTRICT The RESTRICT clause, if provided, names a restriction selectivity estimation function for the operator. (Note that this is a function name, not an operator name.) RESTRICT clauses only make sense for binary operators that return boolean . The idea behind"
What does this passage describe?,"Functions and Operators Operator Description Example(s) Computes the center point. Available for box, lseg, polygon , circle. @@ box '(2,2),(0,0)' → (1,1) # geometric_type → integer Returns the number of points. Available for path, polygon . # path '((1,0),(0,1),(-1,0))' → 3 geometric_type # geometric_type → point Computes the point of intersection, or NULL if there is none. Available for lseg, line. lseg '[(0,0),(1,1)]' # lseg '[(1,0),(0,1)]' → (0.5,0.5) box # box → box Computes the intersection of two boxes, or NULL if there is none. box '(2,2),(-1,-1)' # box '(1,1),(-2,-2)' → (1,1),(-1,-1) geometric_type ## geometric_type → point Computes the closest point to the first object on the second object. Available for these pairs of types: ( point, box), (point, lseg), (point, line), (lseg, box), (lseg, lseg), (line, lseg). point '(0,0)' ## lseg '[(2,0),(0,2)]' → (1,1) geometric_type <-> geometric_type → double precision Computes the distance between the objects. Available for all seven geometric types, for all combinations of point with another geometric type, and for these additional pairs of types: (box, lseg), (lseg, line), (polygon , circle) (and the commutator cases). circle '<(0,0),1>' <-> circle '<(5,0),1>' → 3 geometric_type @> geometric_type → boolean Does first object contain second? Available for these pairs of types: ( box, point), (box, box), (path, point), (polygon , point), (polygon , polygon ), (circle, point), (circle, circle). circle '<(0,0),2>' @> point '(1,1)' → t geometric_type <@ geometric_type → boolean Is first object contained in or on second? Available for these pairs of types: ( point, box),"
What does this passage describe?,"The Information Schema if you define your triggers in a manner that conforms with the SQL standard (trigger names unique in the schema and only one event type per trigger), this will not affect you. Note Prior to PostgreSQL 9.1, this view's columns action_timing , action_ref- erence_old_table , action_reference_new_table , action_refer- ence_old_row , and action_reference_new_row were named condition_tim- ing, condition_reference_old_table , condition_reference_new_ta- ble, condition_reference_old_row , and condition_reference_new_row respectively. That was how they were named in the SQL:1999 standard. The new naming con- forms to SQL:2003 and later. 37.58. udt_privileges The view udt_privileges identifies USAGE privileges granted on user-defined types to a cur- rently enabled role or by a currently enabled role. There is one row for each combination of type, grantor, and grantee. This view shows only composite types (see under Section 37.60 for why); see Section 37.59 for domain privileges. Table 37.56. udt_privileges Columns Column Type Description grantor sql_identifier Name of the role that granted the privilege grantee sql_identifier Name of the role that the privilege was granted to udt_catalog sql_identifier Name of the database containing the type (always the current database) udt_schema sql_identifier Name of the schema containing the type udt_name sql_identifier Name of the type privilege_type character_data Always TYPE USAGE is_grantable yes_or_no YES if the privilege is grantable, NO if not 37.59. usage_privileges The view usage_privileges identifies USAGE privileges granted on various kinds of objects to a currently enabled role or by a currently enabled role. In PostgreSQL, this currently applies to collations, domains, foreign-data wrappers, foreign"
What does this passage describe?,"ECPG — Embedded SQL in C int sqlflags; void *sqlreserved; }; struct sqlda_compat { short sqld; struct sqlvar_compat *sqlvar; char desc_name[19]; short desc_occ; struct sqlda_compat *desc_next; void *reserved; }; typedef struct sqlvar_compat sqlvar_t; typedef struct sqlda_compat sqlda_t; The global properties are: sqld The number of fields in the SQLDA descriptor. sqlvar Pointer to the per-field properties. desc_name Unused, filled with zero-bytes. desc_occ Size of the allocated structure. desc_next Pointer to the next SQLDA structure if the result set contains more than one record. reserved Unused pointer, contains NULL. Kept for Informix-compatibility. The per-field properties are below, they are stored in the sqlvar array: sqltype Type of the field. Constants are in sqltypes.h sqllen Length of the field data. sqldata Pointer to the field data. The pointer is of char * type, the data pointed by it is in a binary format. Example: int intval; switch (sqldata->sqlvar[i].sqltype) 1100"
What does this passage describe?,"pg_isready pg_isready — check the connection status of a PostgreSQL server Synopsis pg_isready [connection-option ...] [option...] Description pg_isready is a utility for checking the connection status of a PostgreSQL database server. The exit status specifies the result of the connection check. Options -d dbname --dbname=dbname Specifies the name of the database to connect to. The dbname can be a connection string . If so, connection string parameters will override any conflicting command line options. -h hostname --host=hostname Specifies the host name of the machine on which the server is running. If the value begins with a slash, it is used as the directory for the Unix-domain socket. -p port --port=port Specifies the TCP port or the local Unix-domain socket file extension on which the server is listening for connections. Defaults to the value of the PGPORT environment variable or, if not set, to the port specified at compile time, usually 5432. -q --quiet Do not display status message. This is useful when scripting. -t seconds --timeout=seconds The maximum number of seconds to wait when attempting connection before returning that the server is not responding. Setting to 0 disables. The default is 3 seconds. -U username --username=username Connect to the database as the user username instead of the default. -V --version Print the pg_isready version and exit. -? --help Show help about pg_isready command line arguments, and exit. 2113"
What does this passage describe?,"Monitoring Database Activity View Name Description pg_stat_user_functions One row for each tracked function, showing sta- tistics about executions of that function. See pg_stat_user_functions for details. pg_stat_xact_user_functions Similar to pg_stat_user_functions , but counts only calls during the current trans- action (which are not yet included in pg_s- tat_user_functions ). pg_statio_all_tables One row for each table in the current database, showing statistics about I/O on that specific ta- ble. See pg_statio_all_tables for de- tails. pg_statio_sys_tables Same as pg_statio_all_tables , except that only system tables are shown. pg_statio_user_tables Same as pg_statio_all_tables , except that only user tables are shown. pg_statio_all_indexes One row for each index in the current database, showing statistics about I/O on that specific in- dex. See pg_statio_all_indexes for de- tails. pg_statio_sys_indexes Same as pg_statio_all_indexes , except that only indexes on system tables are shown. pg_statio_user_indexes Same as pg_statio_all_indexes , except that only indexes on user tables are shown. pg_statio_all_sequences One row for each sequence in the current data- base, showing statistics about I/O on that spe- cific sequence. See pg_statio_all_se- quences for details. pg_statio_sys_sequences Same as pg_statio_all_sequences , except that only system sequences are shown. (Presently, no system sequences are defined, so this view is always empty.) pg_statio_user_sequences Same as pg_statio_all_sequences , ex- cept that only user sequences are shown. The per-index statistics are particularly useful to determine which indexes are being used and how effective they are. The pg_stat_io and pg_statio_ set of views are useful for determining the effectiveness of the buffer cache. They can be used to"
What does this passage describe?,"remote sampling, so all data are transferred and sampled locally. random performs remote sampling using the random() function to choose returned rows, while system and bernoulli rely on the built-in TABLESAMPLE methods of those names. random works on all remote server versions, while TABLESAMPLE is supported only since 9.5. auto (the default) picks the recommended sampling method automatically; currently it means either bernoulli or random depending on the remote server version. F.38.1.4. Remote Execution Options By default, only WHERE clauses using built-in operators and functions will be considered for execu- tion on the remote server. Clauses involving non-built-in functions are checked locally after rows are fetched. If such functions are available on the remote server and can be relied on to produce the same results as they do locally, performance can be improved by sending such WHERE clauses for remote execution. This behavior can be controlled using the following option: extensions (string) This option is a comma-separated list of names of PostgreSQL extensions that are installed, in compatible versions, on both the local and remote servers. Functions and operators that are im- mutable and belong to a listed extension will be considered shippable to the remote server. This option can only be specified for foreign servers, not per-table. 2867"
What does this passage describe?,"update 2.The new value of the column 3.Which row(s) to update Recall from Chapter 5 that SQL does not, in general, provide a unique identifier for rows. Therefore it is not always possible to directly specify which row to update. Instead, you specify which conditions a row must meet in order to be updated. Only if you have a primary key in the table (independent of whether you declared it or not) can you reliably address individual rows by choosing a condition that matches the primary key. Graphical database access tools rely on this fact to allow you to update rows individually. For example, this command updates all products that have a price of 5 to have a price of 10: UPDATE products SET price = 10 WHERE price = 5; This might cause zero, one, or many rows to be updated. It is not an error to attempt an update that does not match any rows. Let's look at that command in detail. First is the key word UPDATE followed by the table name. As usual, the table name can be schema-qualified, otherwise it is looked up in the path. Next is the key word SET followed by the column name, an equal sign, and the new column value. The new column value can be any scalar expression, not just a constant. For example, if you want to raise the price of all products by 10% you could use: 111"
What does this passage describe?,"made for it, but the index contents are not initialized by this command. declare toast toasttableoid toastindexoid on tablename Create a TOAST table for the table named tablename . The TOAST table is assigned OID toasttableoid and its index is assigned OID toastindexoid . As with declare in- dex, filling of the index is postponed. build indices Fill in the indices that have previously been declared. 75.5. Structure of the Bootstrap BKI File The open command cannot be used until the tables it uses exist and have entries for the table that is to be opened. (These minimum tables are pg_class , pg_attribute , pg_proc , and pg_type .) To allow those tables themselves to be filled, create with the bootstrap option implicitly opens the created table for data insertion. Also, the declare index and declare toast commands cannot be used until the system catalogs they need have been created and filled in. Thus, the structure of the postgres.bki file has to be: 1.create bootstrap one of the critical tables 2.insert data describing at least the critical tables 3.close 4.Repeat for the other critical tables. 5.create (without bootstrap ) a noncritical table 6.open 2541"
What does this passage describe?,the schema to which the table will be moved. Notes The key word COLUMN is noise and can be omitted. 1549
What does this passage describe?,"handle binary cursors and expect data to come back in the text format. Note When the client application uses the “extended query” protocol to issue a FETCH command, the Bind protocol message specifies whether data is to be retrieved in text or binary format. This choice overrides the way that the cursor is defined. The concept of a binary cursor as such is thus obsolete when using extended query protocol — any cursor can be treated as either text or binary. Unless WITH HOLD is specified, the cursor created by this command can only be used within the current transaction. Thus, DECLARE without WITH HOLD is useless outside a transaction block: the cursor would survive only to the completion of the statement. Therefore PostgreSQL reports an error if such a command is used outside a transaction block. Use BEGIN and COMMIT (or ROLLBACK ) to define a transaction block. If WITH HOLD is specified and the transaction that created the cursor successfully commits, the cursor can continue to be accessed by subsequent transactions in the same session. (But if the creating transaction is aborted, the cursor is removed.) A cursor created with WITH HOLD is closed when an explicit CLOSE command is issued on it, or the session ends. In the current implementation, the rows represented by a held cursor are copied into a temporary file or memory area so that they remain available for subsequent transactions. WITH HOLD may not be specified when the query includes FOR UPDATE or"
